,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,13,8,36,12,15,37,67,3,43,12,40,16.30%
,,,,,,,,,,,,,,
,,,FRA,GER,ITA,UK,CH,CERN,USA,RDMS,O/CERN,O/non Cern,Women,% Women
,,,,,,,,,,,,,,
,TRK,Mariani,,,1,,,,,,,,1,
,LUM,Schwick,,,,,,1,,,,,,
,LUM,Knolle,,,,,,,,,1,,,
,Proton,Pitt,,,,,,1,,,,,,
,Proton,Shchelina,,,,,,,,,1,,1,
,Pflow,Pekkanen,,,,,,,1,,,,,
,Pflow,Long,,,,,,1,,,,,,
,ML,Kasieczka,,,,,,,,,1,,,
,ML,Vlimant,,,,,,,1,,,,,
Total 2022,,,1,2,3,1,1,3,5,1,5,0,7,31.80%
